id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
89,I disagree with the conclusion but respect the effort.,0,0,0,0,0,0
146,This is the dumbest thing I have ever read.,1,0,0,0,0,0
163,"Get lost, no one wants you here.",1,0,0,0,0,0
247,Only a complete moron would say something like that.,0,0,1,0,1,0
147,You clearly have no idea what you're talking about.,1,0,0,0,0,0
2,Looking forward to the meeting tomorrow.,0,0,0,0,0,0
92,I disagree with the conclusion but respect the effort.,0,0,0,0,0,0
416,Immigrants like you are destroying this nation.,1,0,0,0,0,1
69,The weather has been lovely this week.,0,0,0,0,0,0
450,Immigrants like you are destroying this nation.,1,0,0,0,0,1
123,"Get lost, no one wants you here.",1,0,0,0,0,0
355,You are trash and everyone knows it.,0,0,1,0,1,0
96,Can someone explain how this feature works?,0,0,0,0,0,0
143,"Get lost, no one wants you here.",1,0,0,0,0,0
239,You are an idiot if you believe that.,1,0,0,0,0,0
364,Your entire race is the problem with society.,1,0,0,0,0,1
418,"I hate everyone from that religion, they're all the same.",1,0,0,0,0,1
262,You're a worthless piece of garbage.,0,0,1,0,1,0
97,Looking forward to the meeting tomorrow.,0,0,0,0,0,0
383,"I hate everyone from that religion, they're all the same.",1,0,0,0,0,1
122,You are an idiot if you believe that.,1,0,0,0,0,0
183,You are an idiot if you believe that.,1,0,0,0,0,0
202,"Get lost, no one wants you here.",1,0,0,0,0,0
246,You're a joke and everyone laughs at you.,0,0,1,0,1,0
294,"You disgust me, go away forever.",0,0,1,0,1,0
287,"You disgust me, go away forever.",0,0,1,0,1,0
338,You're a worthless piece of garbage.,0,0,1,0,1,0
289,Only a complete moron would say something like that.,0,0,1,0,1,0
381,Immigrants like you are destroying this nation.,1,0,0,0,0,1
425,Your entire race is the problem with society.,1,0,0,0,0,1
125,"This is garbage, just like everything else you post.",1,0,0,0,0,0
291,You're a worthless piece of garbage.,0,0,1,0,1,0
223,You clearly have no idea what you're talking about.,1,0,0,0,0,0
403,Immigrants like you are destroying this nation.,1,0,0,0,0,1
219,Your logic is trash and so is your attitude.,1,0,0,0,0,0
129,You are an idiot if you believe that.,1,0,0,0,0,0
405,People of that faith are all dangerous criminals.,1,0,0,0,0,1
278,"You are such a pathetic loser, get a life.",0,0,1,0,1,0
317,You're a joke and everyone laughs at you.,0,0,1,0,1,0
478,Your kind should not be allowed to speak in public.,1,0,0,0,0,1
280,You're a worthless piece of garbage.,0,0,1,0,1,0
342,"What an ugly, stupid thing to post.",0,0,1,0,1,0
469,Immigrants like you are destroying this nation.,1,0,0,0,0,1
353,Only a complete moron would say something like that.,0,0,1,0,1,0
427,That gender doesn't deserve any rights at all.,1,0,0,0,0,1
112,"This recipe turned out amazing, thank you!",0,0,0,0,0,0
179,"This is garbage, just like everything else you post.",1,0,0,0,0,0
296,"Quit whining, you spineless coward.",0,0,1,0,1,0
354,You are trash and everyone knows it.,0,0,1,0,1,0
318,You are trash and everyone knows it.,0,0,1,0,1,0
461,Your entire race is the problem with society.,1,0,0,0,0,1
346,You are trash and everyone knows it.,0,0,1,0,1,0
233,"Stop spreading nonsense, it's embarrassing.",1,0,0,0,0,0
373,Women like you shouldn't be allowed to work here.,1,0,0,0,0,1
164,"Get lost, no one wants you here.",1,0,0,0,0,0
136,You are an idiot if you believe that.,1,0,0,0,0,0
197,"Nobody asked for your opinion, shut up.",1,0,0,0,0,0
258,Shut your stupid mouth before I make you.,0,0,1,0,1,0
232,This is the dumbest thing I have ever read.,1,0,0,0,0,0
115,"This recipe turned out amazing, thank you!",0,0,0,0,0,0
120,"Get lost, no one wants you here.",1,0,0,0,0,0
336,You are trash and everyone knows it.,0,0,1,0,1,0
224,"Stop spreading nonsense, it's embarrassing.",1,0,0,0,0,0
388,That gender doesn't deserve any rights at all.,1,0,0,0,0,1
325,You're a worthless piece of garbage.,0,0,1,0,1,0
127,"Stop spreading nonsense, it's embarrassing.",1,0,0,0,0,0
285,You are trash and everyone knows it.,0,0,1,0,1,0
397,Your entire race is the problem with society.,1,0,0,0,0,1
107,Looking forward to the meeting tomorrow.,0,0,0,0,0,0
357,"Quit whining, you spineless coward.",0,0,1,0,1,0
314,You're a worthless piece of garbage.,0,0,1,0,1,0
133,"This is garbage, just like everything else you post.",1,0,0,0,0,0
393,People of that faith are all dangerous criminals.,1,0,0,0,0,1
44,"I really enjoyed this movie, great acting!",0,0,0,0,0,0
441,Women like you shouldn't be allowed to work here.,1,0,0,0,0,1
65,"Congratulations on the new job, well deserved!",0,0,0,0,0,0
283,Only a complete moron would say something like that.,0,0,1,0,1,0
85,"Great presentation, learned a lot today.",0,0,0,0,0,0
242,"You are such a pathetic loser, get a life.",0,0,1,0,1,0
186,"Nobody asked for your opinion, shut up.",1,0,0,0,0,0
159,"Stop spreading nonsense, it's embarrassing.",1,0,0,0,0,0
12,"Great presentation, learned a lot today.",0,0,0,0,0,0
35,"I really enjoyed this movie, great acting!",0,0,0,0,0,0
28,"This recipe turned out amazing, thank you!",0,0,0,0,0,0
170,"Nobody asked for your opinion, shut up.",1,0,0,0,0,0
142,You clearly have no idea what you're talking about.,1,0,0,0,0,0
384,People like you don't belong in this country.,1,0,0,0,0,1
467,People of that faith are all dangerous criminals.,1,0,0,0,0,1
221,"Get lost, no one wants you here.",1,0,0,0,0,0
95,Can someone explain how this feature works?,0,0,0,0,0,0
51,"Thanks for sharing this article, very helpful.",0,0,0,0,0,0
240,Shut your stupid mouth before I make you.,0,0,1,0,1,0
407,Your entire race is the problem with society.,1,0,0,0,0,1
365,People of that faith are all dangerous criminals.,1,0,0,0,0,1
178,Your logic is trash and so is your attitude.,1,0,0,0,0,0
41,"Great presentation, learned a lot today.",0,0,0,0,0,0
374,That gender doesn't deserve any rights at all.,1,0,0,0,0,1
206,"Stop spreading nonsense, it's embarrassing.",1,0,0,0,0,0
282,"What an ugly, stupid thing to post.",0,0,1,0,1,0
254,"What an ugly, stupid thing to post.",0,0,1,0,1,0
398,"I hate everyone from that religion, they're all the same.",1,0,0,0,0,1
4,The weather has been lovely this week.,0,0,0,0,0,0
256,"What an ugly, stupid thing to post.",0,0,1,0,1,0
431,I despise that community and everyone in it.,1,0,0,0,0,1
100,I disagree with the conclusion but respect the effort.,0,0,0,0,0,0
226,This comment section is full of morons.,1,0,0,0,0,0
411,"I hate everyone from that religion, they're all the same.",1,0,0,0,0,1
213,"Get lost, no one wants you here.",1,0,0,0,0,0
171,This is the dumbest thing I have ever read.,1,0,0,0,0,0
98,Looking forward to the meeting tomorrow.,0,0,0,0,0,0
292,You are trash and everyone knows it.,0,0,1,0,1,0
215,You clearly have no idea what you're talking about.,1,0,0,0,0,0
61,"Great presentation, learned a lot today.",0,0,0,0,0,0
47,I disagree with the conclusion but respect the effort.,0,0,0,0,0,0
32,"I really enjoyed this movie, great acting!",0,0,0,0,0,0
267,"I hope you fail at everything you do, jerk.",0,0,1,0,1,0
327,"You are such a pathetic loser, get a life.",0,0,1,0,1,0
200,What a waste of time this whole thread is.,1,0,0,0,0,0
429,I despise that community and everyone in it.,1,0,0,0,0,1
27,I disagree with the conclusion but respect the effort.,0,0,0,0,0,0
376,I despise that community and everyone in it.,1,0,0,0,0,1
230,"Get lost, no one wants you here.",1,0,0,0,0,0
260,You're a joke and everyone laughs at you.,0,0,1,0,1,0
288,"You disgust me, go away forever.",0,0,1,0,1,0
162,"Get lost, no one wants you here.",1,0,0,0,0,0
409,People like you don't belong in this country.,1,0,0,0,0,1
138,What a waste of time this whole thread is.,1,0,0,0,0,0
62,"Congratulations on the new job, well deserved!",0,0,0,0,0,0
135,What a waste of time this whole thread is.,1,0,0,0,0,0
128,"This is garbage, just like everything else you post.",1,0,0,0,0,0
456,Your entire race is the problem with society.,1,0,0,0,0,1
8,Can someone explain how this feature works?,0,0,0,0,0,0
326,You're a worthless piece of garbage.,0,0,1,0,1,0
444,People of that faith are all dangerous criminals.,1,0,0,0,0,1
64,The weather has been lovely this week.,0,0,0,0,0,0
300,"I hope you fail at everything you do, jerk.",0,0,1,0,1,0
14,"Great presentation, learned a lot today.",0,0,0,0,0,0
156,"Nobody asked for your opinion, shut up.",1,0,0,0,0,0
40,"Thanks for sharing this article, very helpful.",0,0,0,0,0,0
440,Immigrants like you are destroying this nation.,1,0,0,0,0,1
404,"That ethnic group is ruining everything, send them back.",1,0,0,0,0,1
216,This is the dumbest thing I have ever read.,1,0,0,0,0,0
279,"You are such a pathetic loser, get a life.",0,0,1,0,1,0
417,,1,0,0,0,0,1
455,People of that faith are all dangerous criminals.,1,0,0,0,0,1
337,"I hope you fail at everything you do, jerk.",0,0,1,0,1,0
236,You are an idiot if you believe that.,1,0,0,0,0,0
207,Your logic is trash and so is your attitude.,1,0,0,0,0,0
212,"Stop spreading nonsense, it's embarrassing.",1,0,0,0,0,0
295,"You disgust me, go away forever.",0,0,1,0,1,0
438,People like you don't belong in this country.,1,0,0,0,0,1
251,Only a complete moron would say something like that.,0,0,1,0,1,0
468,Your entire race is the problem with society.,1,0,0,0,0,1
439,Women like you shouldn't be allowed to work here.,1,0,0,0,0,1
303,"Quit whining, you spineless coward.",0,0,1,0,1,0
350,"You disgust me, go away forever.",0,0,1,0,1,0
269,"You disgust me, go away forever.",0,0,1,0,1,0
201,,1,0,0,0,0,0
161,You are an idiot if you believe that.,1,0,0,0,0,0
43,"Congratulations on the new job, well deserved!",0,0,0,0,0,0
217,This is the dumbest thing I have ever read.,1,0,0,0,0,0
190,You are an idiot if you believe that.,1,0,0,0,0,0
309,Shut your stupid mouth before I make you.,0,0,1,0,1,0
259,"You disgust me, go away forever.",0,0,1,0,1,0
105,"Great presentation, learned a lot today.",0,0,0,0,0,0
53,The weather has been lovely this week.,0,0,0,0,0,0
389,Your entire race is the problem with society.,1,0,0,0,0,1
1,"Great presentation, learned a lot today.",0,0,0,0,0,0
424,"That ethnic group is ruining everything, send them back.",1,0,0,0,0,1
462,I despise that community and everyone in it.,1,0,0,0,0,1
49,"Great presentation, learned a lot today.",0,0,0,0,0,0
80,The documentation could use a few more examples.,0,0,0,0,0,0
205,You clearly have no idea what you're talking about.,1,0,0,0,0,0
34,I disagree with the conclusion but respect the effort.,0,0,0,0,0,0
263,You are trash and everyone knows it.,0,0,1,0,1,0
366,"That ethnic group is ruining everything, send them back.",1,0,0,0,0,1
91,I disagree with the conclusion but respect the effort.,0,0,0,0,0,0
339,You are trash and everyone knows it.,0,0,1,0,1,0
453,People like you don't belong in this country.,1,0,0,0,0,1
52,"Congratulations on the new job, well deserved!",0,0,0,0,0,0
345,You're a worthless piece of garbage.,0,0,1,0,1,0
264,You are trash and everyone knows it.,0,0,1,0,1,0
241,"You disgust me, go away forever.",0,0,1,0,1,0
13,"Great presentation, learned a lot today.",0,0,0,0,0,0
315,"What an ugly, stupid thing to post.",0,0,1,0,1,0
88,"Great presentation, learned a lot today.",0,0,0,0,0,0
387,That gender doesn't deserve any rights at all.,1,0,0,0,0,1
273,You are trash and everyone knows it.,0,0,1,0,1,0
166,What a waste of time this whole thread is.,1,0,0,0,0,0
328,Shut your stupid mouth before I make you.,0,0,1,0,1,0
472,"That ethnic group is ruining everything, send them back.",1,0,0,0,0,1
134,"Stop spreading nonsense, it's embarrassing.",1,0,0,0,0,0
306,"I hope you fail at everything you do, jerk.",0,0,1,0,1,0
460,I despise that community and everyone in it.,1,0,0,0,0,1
319,You're a joke and everyone laughs at you.,0,0,1,0,1,0
243,"What an ugly, stupid thing to post.",0,0,1,0,1,0
54,The weather has been lovely this week.,0,0,0,0,0,0
363,That gender doesn't deserve any rights at all.,1,0,0,0,0,1
50,"Great presentation, learned a lot today.",0,0,0,0,0,0
174,You are an idiot if you believe that.,1,0,0,0,0,0
189,What a waste of time this whole thread is.,1,0,0,0,0,0
476,That gender doesn't deserve any rights at all.,1,0,0,0,0,1
187,What a waste of time this whole thread is.,1,0,0,0,0,0
169,This is the dumbest thing I have ever read.,1,0,0,0,0,0
58,"Great presentation, learned a lot today.",0,0,0,0,0,0
48,Looking forward to the meeting tomorrow.,0,0,0,0,0,0
344,You are trash and everyone knows it.,0,0,1,0,1,0
235,"Stop spreading nonsense, it's embarrassing.",1,0,0,0,0,0
252,Shut your stupid mouth before I make you.,0,0,1,0,1,0
21,"Congratulations on the new job, well deserved!",0,0,0,0,0,0
313,You're a worthless piece of garbage.,0,0,1,0,1,0
160,Your logic is trash and so is your attitude.,1,0,0,0,0,0
276,Only a complete moron would say something like that.,0,0,1,0,1,0
443,"That ethnic group is ruining everything, send them back.",1,0,0,0,0,1
191,You are an idiot if you believe that.,1,0,0,0,0,0
385,Your entire race is the problem with society.,1,0,0,0,0,1
293,"I hope you fail at everything you do, jerk.",0,0,1,0,1,0
413,Your entire race is the problem with society.,1,0,0,0,0,1
343,"You disgust me, go away forever.",0,0,1,0,1,0
257,Shut your stupid mouth before I make you.,0,0,1,0,1,0
308,"I hope you fail at everything you do, jerk.",0,0,1,0,1,0
149,This is the dumbest thing I have ever read.,1,0,0,0,0,0
130,"This is garbage, just like everything else you post.",1,0,0,0,0,0
151,You clearly have no idea what you're talking about.,1,0,0,0,0,0
359,You're a joke and everyone laughs at you.,0,0,1,0,1,0
99,"Thanks for sharing this article, very helpful.",0,0,0,0,0,0
372,"That ethnic group is ruining everything, send them back.",1,0,0,0,0,1
87,"Congratulations on the new job, well deserved!",0,0,0,0,0,0
458,That gender doesn't deserve any rights at all.,1,0,0,0,0,1
330,"You disgust me, go away forever.",0,0,1,0,1,0
214,"Stop spreading nonsense, it's embarrassing.",1,0,0,0,0,0
466,Your entire race is the problem with society.,1,0,0,0,0,1
121,You are an idiot if you believe that.,1,0,0,0,0,0
479,Your entire race is the problem with society.,1,0,0,0,0,1
20,"This recipe turned out amazing, thank you!",0,0,0,0,0,0
188,You clearly have no idea what you're talking about.,1,0,0,0,0,0
71,"Thanks for sharing this article, very helpful.",0,0,0,0,0,0
106,"Great presentation, learned a lot today.",0,0,0,0,0,0
270,You're a worthless piece of garbage.,0,0,1,0,1,0
348,Shut your stupid mouth before I make you.,0,0,1,0,1,0
435,Your entire race is the problem with society.,1,0,0,0,0,1
102,I disagree with the conclusion but respect the effort.,0,0,0,0,0,0
